Total time (s);Total recompute time (ms);Amount of recomputes;Average recompute time (ms);Path length;Expanded nodes
=AVERAGE(A4:A103);=AVERAGE(B4:B103);=AVERAGE(C4:C103);=AVERAGE(D4:D103);=AVERAGE(E4:E103);=AVERAGE(F4:F103)
---------------------------------------------------------------------------------------------
0,2486086;231,5608;54;4,288162962962963;604;81718
0,3039589;239,3874;51;4,693870588235295;566;99089
0,1935345;116,8306;50;2,336612;562;64098
0,8538281;795,3651;72;11,046737499999999;798;299307
0,6265342;563,2807;62;9,085172580645162;698;224845
0,448567;431,9351;69;6,259928985507246;768;160337
0,3903737;355,2559;56;6,343855357142857;626;148440
0,1283361;81,7218;45;1,81604;508;49567
0,494119;423,2834;64;6,613803125;714;199407
0,5264593;483,2653;85;5,685474117647059;946;198176
0,1663389;86,7968;51;1,7018980392156864;572;79821
0,8168853;785,9176;64;12,2799625;712;284011
0,263796;220,46;56;3,9367857142857146;630;84317
0,3139821;292,5007;59;4,957638983050847;664;106205
0,3575182;299,7325;54;5,5506018518518525;604;128355
0,1853801;150,933;51;2,959470588235294;572;77246
0,2120324;173,9304;51;3,4103999999999997;566;73404
0,5748712;523,8307;71;7,377897183098591;792;222893
0,4593679;421,0284;70;6,014691428571428;780;171606
0,2720244;227,8711;51;4,468060784313725;572;98957
0,3395711;189,8923;58;3,2740051724137933;648;108384
0,2491211;227,7393;51;4,465476470588235;572;98246
0,8756506;809,9724;88;9,204231818181817;980;324814
0,2493904;201,1182;51;3,943494117647059;572;106668
0,1993057;160,7408;52;3,091169230769231;582;77530
0,368508;330,7494;50;6,614987999999999;558;120879
0,4366931;373,2366;50;7,464732000000001;558;149428
0,209361;173,4886;53;3,2733698113207543;594;79839
0,4685558;431,5107;48;8,989806249999999;540;173808
0,346048;298,6837;54;5,531179629629629;604;129879
0,1903237;159,898;45;3,553288888888889;508;74623
0,3899786;336,6102;47;7,16191914893617;530;140809
0,0540036;7,0087;45;0,15574888888888888;508;10226
0,2776514;264,0768;54;4,890311111111111;604;95219
0,4282877;405,9174;54;7,516988888888888;604;155746
0,3628288;301,2659;71;4,243181690140845;794;124807
0,174557;134,8582;51;2,644278431372549;572;69075
0,5183207;459,2618;70;6,5608828571428575;782;190178
0,7158096;667,5797;82;8,141215853658537;910;262741
0,5331039;484,2365;58;8,348905172413792;644;188029
0,1891239;149,5178;48;3,1149541666666667;542;75116
0,0836783;69,0848;50;1,381696;554;35888
0,3889946;344,9926;56;6,160582142857143;628;133646
0,1393959;90,8132;48;1,8919416666666666;540;45969
1,362946;1306,2995;96;13,607286458333334;1070;497871
0,1848835;164,4435;48;3,42590625;542;74206
0,3099954;286,568;45;6,3681777777777775;508;103928
0,3946863;318,7439;65;4,903752307692308;724;129004
0,8525964;756,5669;81;9,340332098765433;902;308013
0,9190892;872,074;78;11,180435897435897;872;322977
0,2279743;158,5651;54;2,9363907407407406;604;83992
0,5007889;391,347;52;7,525903846153846;584;190330
0,2971671;227,9597;58;3,9303396551724137;644;111292
0,2745244;221,6787;48;4,61830625;540;104986
0,9250431;807,123;83;9,724373493975904;928;325123
0,2614051;186,7645;51;3,662049019607843;572;99000
0,6951822;628,6275;59;10,654703389830509;662;248429
0,3120691;256,3731;57;4,497773684210527;636;108748
0,0732733;53,9215;48;1,1233645833333334;540;29520
0,9587181;847,307;79;10,72540506329114;884;330892
0,2690867;248,9478;62;4,015287096774194;692;100514
0,674261;622,7918;68;9,15870294117647;764;239356
0,0904638;77,632;47;1,6517446808510639;526;37494
0,4207216;325,6065;64;5,0876015625;714;137857
0,2525607;141,8102;60;2,3635033333333335;666;100796
0,4541536;403,9381;65;6,214432307692308;724;167226
0,2036047;183,2505;73;2,510280821917808;814;82608
0,293029;255,9434;54;4,739692592592593;604;103734
0,1834248;144,5299;55;2,6278163636363634;612;64307
0,4425943;391,1407;64;6,1115734375;720;150685
0,1655662;146,9222;47;3,126004255319149;528;66112
0,4725845;409,7639;60;6,829398333333333;670;160906
0,1336149;102,8645;54;1,9048981481481482;604;53391
0,1821402;135,3831;54;2,5070944444444447;604;66858
0,1406619;99,412;45;2,2091555555555558;508;48705
0,3267195;274,1917;65;4,218333846153847;724;102006
0,3090169;243,6971;68;3,5837808823529413;758;111576
0,1013509;82,7632;62;1,3348903225806452;694;39758
0,6868351;554,9907;55;10,090739999999998;616;264267
0,9281332;877,9256;64;13,7175875;712;334636
0,1813877;135,2777;49;2,760769387755102;546;67112
0,3284791;276,3075;60;4,605125;676;115957
0,2291911;170,305;52;3,275096153846154;578;78179
0,5203399;484,1234;60;8,068723333333333;668;193037
0,3530641;257,956;48;5,374083333333334;540;119747
0,0792857;31,387;45;0,6974888888888889;508;24757
0,2300142;182,2893;51;3,5743;572;84104
0,7835427;661,0302;69;9,580147826086957;770;271474
0,3463693;303,5372;48;6,323691666666666;540;119363
0,3182452;245,9954;60;4,099923333333333;676;116954
0,4410685;370,8724;61;6,079875409836066;678;151492
0,8701831;771,8835;77;10,02446103896104;858;318462
0,7089178;631,9238;54;11,702292592592594;604;237025
0,6765964;626,7759;74;8,469944594594594;826;256515
0,5851039;536,6398;64;8,384996875;714;219215
0,305084;252,5503;51;4,951966666666666;572;101846
0,2882504;213,695;55;3,8853636363636364;614;103953
0,1991609;163,6081;51;3,2080019607843138;572;74658
0,2933674;231,9885;60;3,866475;672;91792
0,1435516;111,6328;53;2,106279245283019;592;64068
