Total time (s);Total recompute time (ms);Amount of recomputes;Average recompute time (ms);Path length;Expanded nodes
=AVERAGE(A4:A103);=AVERAGE(B4:B103);=AVERAGE(C4:C103);=AVERAGE(D4:D103);=AVERAGE(E4:E103);=AVERAGE(F4:F103)
---------------------------------------------------------------------------------------------
0,0617684;47,411;23;2,0613478260869567;262;18339
0,0593136;45,4076;23;1,9742434782608698;260;17220
0,0695524;54,8882;23;2,3864434782608694;258;18083
0,0731457;59,091;23;2,5691739130434783;262;19404
0,0807416;66,1205;24;2,7550208333333335;266;21620
0,0619467;47,4796;23;2,0643304347826086;262;17634
0,0669904;52,516;23;2,283304347826087;262;17868
0,068458;50,4561;22;2,293459090909091;254;18696
0,0646509;50,1092;25;2,004368;278;18674
0,0598644;45,4559;23;1,9763434782608695;260;17447
0,0755358;61,616;23;2,6789565217391305;260;20632
0,0731069;59,0332;23;2,5666608695652173;258;18964
0,0571174;43,1564;23;1,8763652173913044;260;16077
0,0563875;42,5409;23;1,849604347826087;258;16041
0,0668021;52,979;24;2,2074583333333333;272;19520
0,061187;47,1838;23;2,051469565217391;258;16195
0,0711082;52,2811;23;2,273091304347826;260;18976
0,0595764;45,7782;23;1,9903565217391304;260;17575
0,0685091;53,8171;23;2,3398739130434785;268;19480
0,0657022;52,1967;23;2,269421739130435;260;17099
0,0658645;51,5796;23;2,242591304347826;258;19435
0,066;52,2459;23;2,271560869565217;264;17791
0,0709835;56,9534;23;2,476234782608696;262;20769
0,0614225;47,5567;23;2,067682608695652;258;17598
0,0751913;56,8356;24;2,36815;270;20532
0,0642624;49,4282;23;2,1490521739130433;262;19312
0,0698468;55,7056;23;2,421982608695652;262;20699
0,0728356;58,5655;23;2,5463260869565216;266;19798
0,0719232;57,8171;23;2,5137869565217392;264;18619
0,0662689;52,1933;23;2,2692739130434783;266;19389
0,0662297;48,1407;23;2,0930739130434786;264;17268
0,0706532;56,0098;23;2,435208695652174;260;21601
0,0749088;60,8227;23;2,6444652173913044;262;20689
0,0630516;49,0495;23;2,132586956521739;264;18820
0,0745752;59,8131;23;2,6005695652173912;262;20355
0,062231;47,5566;23;2,0676782608695654;258;18281
0,0724008;57,7857;24;2,4077375;274;20793
0,0678821;54,167;23;2,355086956521739;258;17242
0,0684019;54,1698;23;2,355208695652174;260;18431
0,0647442;50,5752;22;2,298872727272727;254;17158
0,0671857;53,6321;23;2,3318304347826087;264;17183
0,0635447;49,672;23;2,1596521739130434;256;16945
0,067587;52,8718;23;2,2987739130434783;256;18346
0,0745833;56,1481;23;2,4412217391304347;262;22274
0,0679963;53,6412;24;2,2350499999999998;268;20052
0,0617293;47,7167;23;2,074639130434783;260;16900
0,0687369;55,0953;23;2,3954478260869565;264;19215
0,0728804;58,7364;23;2,5537565217391305;262;18943
0,0747233;60,4094;24;2,5170583333333334;270;20995
0,0692561;51,1516;22;2,3250727272727274;258;19341
0,068914;54,8932;24;2,2872166666666667;270;19585
0,0644573;50,381;24;2,0992083333333333;272;18833
0,0737469;59,902;24;2,4959166666666666;268;22307
0,0679592;54,1866;23;2,3559391304347828;256;18310
0,0677432;50,2188;23;2,183426086956522;258;18741
0,0792591;56,9561;24;2,3731708333333335;276;21186
0,0572456;42,4438;23;1,8453826086956524;254;16301
0,070281;56,3419;24;2,3475791666666668;274;19482
0,0737417;59,5606;23;2,589591304347826;258;20688
0,0717207;58,1871;23;2,5298739130434784;264;20307
0,0723749;58,2183;23;2,5312304347826085;260;19311
0,0708425;53,3094;23;2,3177999999999996;264;20380
0,0647756;50,735;23;2,2058695652173914;256;18585
0,0684597;54,7389;23;2,3799521739130434;262;18635
0,0711625;57,5836;23;2,5036347826086955;264;18563
0,0653929;51,057;23;2,219869565217391;262;18987
0,0678908;53,7926;24;2,2413583333333333;272;19182
0,0650622;45,4178;23;1,974686956521739;262;17798
0,0687035;50,8388;23;2,210382608695652;260;18601
0,0687052;53,8853;23;2,3428391304347826;260;20580
0,0665274;53,0989;24;2,212454166666667;268;17813
0,0658701;52,069;23;2,2638695652173912;256;17083
0,0646708;51,0772;23;2,2207478260869564;260;16669
0,0679752;53,9215;23;2,344413043478261;266;19196
0,0683912;49,1531;23;2,1370913043478263;256;18529
0,0644804;47,6861;23;2,073308695652174;262;17085
0,0655971;51,4986;23;2,2390695652173913;258;17920
0,0635372;48,9897;25;1,9595879999999999;276;18885
0,0733078;58,8999;24;2,4541625000000002;274;20498
0,0722994;57,9834;24;2,415975;270;19045
0,0687419;50,5383;23;2,197317391304348;262;19442
0,0556676;41,9235;23;1,8227608695652173;258;16081
0,0687533;54,1627;23;2,3549;268;19589
0,0770792;63,1877;24;2,632820833333333;270;20978
0,0669088;52,957;23;2,3024782608695653;262;18178
0,0698351;55,3031;23;2,4044826086956523;262;18287
0,0703634;52,8247;23;2,2967260869565216;264;19606
0,0704753;55,8572;24;2,327383333333333;270;20265
0,0730505;58,9868;23;2,56464347826087;264;21776
0,0745506;60,6276;24;2,52615;268;19690
0,0671338;53,244;24;2,2185;264;19604
0,0663876;45,2864;23;1,9689739130434782;262;17578
0,063453;49,4598;25;1,9783920000000002;280;18339
0,0564296;42,4753;23;1,8467521739130432;260;16540
0,0751114;60,2411;23;2,6191782608695653;258;19908
0,0680234;54,118;24;2,254916666666667;270;20448
0,0632529;47,834;23;2,0797391304347825;260;17589
0,0746584;60,7065;24;2,5294375;270;19044
0,0724175;57,8605;24;2,4108541666666667;270;21809
0,056935;41,441;22;1,8836818181818182;256;17018
