Total time (s);Total recompute time (ms);Amount of recomputes;Average recompute time (ms);Path length;Expanded nodes
=AVERAGE(A4:A103);=AVERAGE(B4:B103);=AVERAGE(C4:C103);=AVERAGE(D4:D103);=AVERAGE(E4:E103);=AVERAGE(F4:F103)
---------------------------------------------------------------------------------------------
45,617127;45359,0726;204;222,34839509803922;2262;13253091
33,9474191;33827,2781;196;172,5881535714286;2174;10112621
23,5801323;23261,5644;151;154,05009536423842;1672;6826205
35,5786158;35276,9509;201;175,5072184079602;2230;10607201
45,1094513;44790,086;186;240,80691397849463;2058;12718337
52,7205484;52349,2053;242;216,31903016528926;2684;15188806
35,7018423;35369,0931;199;177,7341361809045;2204;10358322
21,7726637;21478,8933;163;131,77235153374232;1810;6364999
39,667334;39380,0454;194;202,98992474226804;2152;11630891
24,8811988;24577,6321;149;164,9505510067114;1652;7170473
25,8801792;25715,0043;159;161,72958679245284;1764;7618761
32,2596667;32015,3919;220;145,52450863636363;2436;9590802
46,9175702;46550,4871;206;225,97323834951456;2280;13664593
39,23176;39086,66;173;225,93445086705205;1916;11531839
31,8079207;31741,6045;173;183,47748265895956;1916;9165140
45,6010062;45054,1331;166;271,41044036144575;1838;13190807
25,637764;25453,2348;134;189,9495134328358;1490;7360206
53,633636;53156,3638;208;255,55944134615385;2304;15646017
48,702217;48286,3081;237;203,73969662447257;2618;14195279
45,8004423;45517,1179;176;258,6199880681818;1946;13187115
46,046556;45807,9654;202;226,77210594059406;2228;13479047
23,8936943;23743,489;137;173,3101386861314;1528;7004104
28,2827608;27921,5823;159;175,6074358490566;1762;8178860
41,3555307;40834,0812;171;238,79579649122806;1896;12005952
24,141768;24082,5361;196;122,87008214285714;2166;7341380
66,9419301;66761,6295;293;227,85539078498292;3240;19538267
44,838985;44586,1512;208;214,35649615384617;2308;13151840
33,9213747;33681,4015;183;184,0513743169399;2030;9918220
61,1450017;60919,6496;226;269,55597168141594;2502;18036166
47,3418881;47029,7252;217;216,72684423963133;2408;13904765
25,3609465;25036,3447;161;155,50524658385095;1782;7544789
20,2611141;20066,063;161;124,63393167701862;1782;5902808
40,9686102;40630,8913;226;179,78270486725665;2502;12280928
17,9299794;17723,9625;133;133,26287593984964;1474;5286670
40,5348197;40333,5267;209;192,98338133971293;2316;11838849
33,4143083;33267,4509;191;174,17513560209426;2118;9744788
38,5763496;38196,3325;212;180,1713797169811;2346;11243430
82,0522608;81615,6607;280;291,48450249999996;3096;23909421
32,5507396;32397,3425;179;180,9907402234637;1982;9620387
34,1663043;33675,4609;180;187,08589388888888;1990;10011030
43,3391512;43150,2786;192;224,741034375;2122;12634677
27,7764282;27722,0967;188;147,45796117021277;2080;8274114
37,3909827;36857,6027;205;179,79318390243904;2270;11155928
37,8637534;37663,8108;196;192,1623;2166;11191778
45,2762385;44775,6726;194;230,80243608247423;2152;13109446
50,9829526;50841,3144;220;231,09688363636366;2440;14897263
41,1226279;40832,6247;194;210,4774469072165;2144;12155216
33,7597046;33418,0708;178;187,74197078651687;1966;9682505
44,5622847;44365,4414;213;208,28845727699533;2352;12890649
34,7929596;34562,7509;193;179,081610880829;2136;10178737
35,0746426;34918,6359;171;204,20254912280703;1900;10211754
56,042577;55574,5963;233;238,51758068669525;2580;16412416
50,3623197;50044,4841;224;223,4128754464286;2476;14674020
30,0630342;29641,507;167;177,4940538922156;1852;8865691
37,8640867;37808,7463;178;212,40868707865167;1974;11176936
