Total time (s);Total recompute time (ms);Amount of recomputes;Average recompute time (ms);Path length;Expanded nodes
=AVERAGE(A4:A103);=AVERAGE(B4:B103);=AVERAGE(C4:C103);=AVERAGE(D4:D103);=AVERAGE(E4:E103);=AVERAGE(F4:F103)
---------------------------------------------------------------------------------------------
1,7280865;1498,4422;92;16,287415217391302;1028;316967
1,7795355;1603,3659;93;17,240493548387096;1036;348688
2,0821475;1876,2461;95;19,749958947368423;1060;432786
1,8931278;1704,7805;94;18,135962765957448;1046;378293
1,7884547;1615,3954;92;17,558645652173915;1032;354016
1,8868545;1675,3379;93;18,014386021505377;1030;382071
1,7607848;1524,5321;93;16,39281827956989;1032;341512
1,7562197;1538,2697;94;16,364571276595747;1050;341393
2,0316321;1780,3091;93;19,143108602150537;1036;409792
2,0074222;1856,9774;95;19,54713052631579;1054;412498
1,8397221;1623,0195;91;17,83537912087912;1032;353491
1,8372769;1662,5921;92;18,071653260869567;1028;353098
1,7599424;1555,2813;93;16,723454838709678;1034;336906
1,961442;1752,192;93;18,840774193548388;1042;404049
1,8597368;1602,7014;93;17,233348387096772;1034;342696
1,8400799;1659,0174;93;17,838896774193547;1042;357082
1,9555083;1776,7771;94;18,901884042553192;1052;384178
1,826887;1669,1838;94;17,757274468085107;1042;357165
1,7916873;1621,6289;93;17,43686989247312;1034;349035
1,9428038;1734,6685;92;18,855092391304346;1038;400518
1,9411688;1781,4121;92;19,363175000000002;1028;382361
1,8133027;1630,0717;93;17,527652688172044;1042;356686
2,1793253;1973,1333;94;20,990779787234043;1046;433269
1,7930764;1592,9264;93;17,128240860215055;1034;348527
1,7279315;1504,6032;93;16,178529032258066;1034;325444
2,1205541;1945,8275;92;21,15029891304348;1036;438475
1,8160864;1656,2044;93;17,808649462365594;1042;355974
1,8022388;1610,8374;93;17,320832258064517;1040;354259
2,0822504;1872,49;95;19,710421052631578;1052;408525
1,7562626;1569,1959;93;16,873074193548387;1036;342425
1,9488865;1743,7242;92;18,95352391304348;1026;378273
2,1462903;1931,7383;93;20,771379569892474;1042;419952
1,777175;1563,1485;92;16,99074456521739;1032;338105
1,9125675;1720,4209;93;18,499149462365594;1034;390038
2,0453308;1870,8268;94;19,902412765957447;1046;408585
2,0751885;1857,2314;94;19,757780851063828;1040;396527
2,0019494;1819,9298;94;19,360955319148935;1046;407863
1,9205081;1727,3562;94;18,376129787234042;1046;377997
2,0079466;1803,5694;93;19,39321935483871;1030;383832
1,8406659;1608,0236;92;17,478517391304347;1030;351900
1,8276509;1670,8853;93;17,966508602150537;1038;360304
1,810378;1602,314;93;17,229182795698925;1030;348851
1,7416475;1508,9116;92;16,40121304347826;1024;328639
1,856865;1641,0237;92;17,83721413043478;1034;365350
2,0104613;1819,8181;94;19,359767021276596;1042;400199
1,7902655;1548,2926;94;16,471197872340426;1046;338832
2,1600581;1971,482;95;20,752442105263157;1062;427790
1,8313308;1595,3732;93;17,15455053763441;1042;347007
2,065626;1866,9597;93;20,07483548387097;1042;402441
1,6941555;1485,5468;93;15,973621505376345;1040;309824
1,8983456;1675,7223;93;18,01851935483871;1038;382634
2,146656;1887,75;94;20,08244680851064;1046;429580
1,9830594;1768,3474;93;19,014488172043013;1038;386990
2,052137;1793,1902;94;19,076491489361704;1042;378831
1,9719849;1757,1783;92;19,09976413043478;1028;379108
2,0249061;1804,0336;94;19,19184680851064;1038;387683
