Total time;Compute time;Path length;Memory usage
0,0229222;0,0225181;284;36272
0,0055071;0,0054495;252;16208
0,0130305;0,0129493;252;33968
0,0169978;0,0169279;284;29872
0,0269581;0,0268704;266;16208
0,0189365;0,0188609;252;42160
0,008464;0,0083842;252;29872
0,0357771;0,0356454;348;16208
0,0070231;0,0069828;252;29872
0,0077921;0,0077158;252;29872
0,0074802;0,0074433;252;16208
0,0063272;0,0062805;252;16208
0,0190637;0,0189568;284;29872
0,0157065;0,0156122;284;16208
0,0144524;0,0144052;252;33968
0,010412;0,0103578;252;33968
0,0069753;0,0069306;284;14160
0,0152909;0,0152214;316;16208
0,0120407;0,0119931;252;33968
0,0085584;0,0085026;252;33968
0,056441;0,0563413;326;33968
0,0096869;0,0096302;284;29872
0,0156532;0,0155995;252;33968
0,0063731;0,0063385;252;29872
0,0064323;0,0063744;252;29872
0,0410433;0,040979;358;16208
0,0113765;0,0113342;252;33968
0,0153673;0,0153268;276;29872
0,029916;0,0298715;316;33968
0,0107092;0,0106609;252;33968
0,0355735;0,0355165;380;16208
0,0465897;0,0465092;412;29872
0,0167008;0,0166468;284;33968
0,0107606;0,010711;284;33968
0,0083261;0,0082763;252;29872
0,0217201;0,0216725;276;29872
0,0036283;0,0035754;252;16208
0,0106187;0,0105769;252;33968
0,0108;0,0107504;284;16208
0,0154117;0,0153754;252;29872
0,0233768;0,0233293;284;29872
0,0148203;0,0147549;284;16208
0,0218509;0,0218031;284;33968
0,0099511;0,0099088;284;16208
0,0078889;0,0078497;252;33968
0,0219234;0,0218826;284;33968
0,0208646;0,0208052;316;16208
0,0252992;0,0252477;284;33968
0,0064599;0,0064094;252;16208
0,0090836;0,009043;252;33968
0,0257855;0,0257128;348;33968
0,0070014;0,0069516;252;29872
0,0331565;0,0331055;316;16208
0,0083909;0,0083508;252;33968
0,0393255;0,0392647;330;33968
0,0048482;0,0047949;252;16208
0,0124123;0,0123626;252;33968
0,0042434;0,0041929;252;16208
0,007265;0,0072088;252;16208
0,0162116;0,0161708;284;16208
0,0204165;0,0203731;294;33968
0,0083332;0,0082805;252;33968
0,0332923;0,0331967;316;33968
0,0086909;0,0086488;252;33968
0,0203183;0,0202699;284;16208
0,0073196;0,0072673;252;29872
0,0360187;0,0359629;306;29872
0,0098389;0,0097987;252;33968
0,012742;0,0126902;252;16208
0,0102075;0,0101565;252;33968
0,0216585;0,0214516;284;33968
0,0084246;0,0083765;252;33968
0,0090582;0,0089914;284;14160
0,0220792;0,0220244;316;16208
0,0062806;0,0062233;252;16208
0,0135898;0,0135405;252;33968
0,0057866;0,0057351;252;16208
0,0075665;0,0075152;252;33968
0,012924;0,0128712;284;16208
0,0068902;0,0068543;252;33968
0,0184117;0,0183568;284;16208
0,0181941;0,0181439;266;16208
0,0190548;0,0189773;348;29872
0,0105459;0,0104983;252;33968
0,0079526;0,0078919;252;33968
0,0076336;0,0076014;252;33968
0,0112732;0,0112276;252;33968
0,0096733;0,0096239;252;33968
0,0175797;0,0175121;316;16208
0,008742;0,0086921;252;33968
0,0147496;0,0146845;284;16208
0,0071646;0,0071196;252;29872
0,0069029;0,0068419;252;29872
0,0080941;0,0080463;252;33968
0,0188605;0,0188094;284;33968
0,0143566;0,0143073;266;16208
0,0180334;0,01799;316;29872
0,0098248;0,0097246;252;33968
0,0104403;0,0104052;252;33968
0,0110011;0,0109614;252;33968
