Total time (s);Total recompute time (ms);Amount of recomputes;Average recompute time (ms);Path length;Expanded nodes
=AVERAGE(A4:A103);=AVERAGE(B4:B103);=AVERAGE(C4:C103);=AVERAGE(D4:D103);=AVERAGE(E4:E103);=AVERAGE(F4:F103)
---------------------------------------------------------------------------------------------
0,1709642;164,2147;46;3,5698847826086957;510;153479
0,1987722;193,6431;46;4,209632608695652;512;176804
0,1844718;177,8134;45;3,951408888888889;510;174073
0,1905591;184,4284;45;4,098408888888889;510;171323
0,1628086;157,3565;46;3,4207934782608698;510;145593
0,1513891;143,0944;46;3,1107478260869565;512;133402
0,1781264;168,8224;46;3,670052173913043;510;166186
0,1588128;154,5626;45;3,4347244444444445;510;150176
0,1729281;166,1947;45;3,6932155555555557;510;156830
0,1682743;161,7171;46;3,5155891304347824;510;154434
0,1887206;182,8132;46;3,9741999999999997;510;168442
0,196919;189,3459;45;4,207686666666667;510;181963
0,1722834;166,647;45;3,7032666666666665;510;160648
0,1630915;158,1204;45;3,5137866666666664;510;141495
0,2115784;202,9764;46;4,412530434782609;510;189904
0,1677263;156,7185;45;3,4826333333333332;510;156892
0,1849798;172,9904;45;3,844231111111111;510;165029
0,168642;156,2499;45;3,47222;510;150827
0,2063802;198,4611;46;4,314371739130435;510;190334
0,1524967;144,9442;45;3,220982222222222;510;137469
0,1462551;141,0523;46;3,066354347826087;510;138058
0,1846073;166,7364;46;3,624704347826087;510;166479
0,1827975;169,8936;45;3,7754133333333333;510;171883
0,1621883;155,0886;45;3,4464133333333336;510;151067
0,1691082;161,3934;45;3,58652;510;156579
0,1646998;158,6362;46;3,448613043478261;510;154082
0,1745926;169,2799;45;3,7617755555555554;510;152441
0,1798848;172,0912;46;3,7411130434782605;512;167396
0,1409746;135,1509;46;2,938063043478261;510;133122
0,1996475;193,7923;46;4,212876086956522;510;179236
0,169014;154,7372;45;3,4386044444444446;510;156278
0,1751352;161,8652;45;3,597004444444444;510;163675
0,1461351;137,1241;46;2,980958695652174;510;141540
0,1687924;157,9489;46;3,433671739130435;510;157695
0,1702137;163,8821;46;3,5626543478260873;510;151677
0,1469591;137,0285;45;3,0450777777777778;510;143926
0,1942089;185,0003;46;4,021745652173913;510;182678
0,1793852;166,5159;46;3,619910869565217;510;161432
0,1564254;147,6571;46;3,2099369565217395;510;143874
0,1709073;151,748;46;3,298869565217391;510;155094
0,1954303;188,9725;45;4,199388888888889;510;183295
0,1961743;189,53;45;4,211777777777778;510;174417
0,1537289;149,1292;46;3,2419391304347824;510;146885
0,1629852;158,7409;45;3,527575555555556;510;151182
0,1986343;189,1059;45;4,202353333333333;510;176742
0,211519;203,7379;46;4,429084782608696;510;187208
0,216244;206,4281;46;4,4875673913043475;512;189638
0,2031097;185,5299;45;4,122886666666667;510;184103
0,1769017;171,8103;45;3,8180066666666668;510;161435
0,1757795;168,2684;45;3,7392977777777783;510;156283
0,1801629;174,4632;45;3,87696;510;167297
0,1711582;165,346;46;3,594478260869565;510;153929
0,1538773;146,3059;46;3,1805630434782612;510;143072
0,1870574;175,5682;45;3,901515555555555;510;169295
0,1556431;148,9688;45;3,3104177777777775;510;144886
0,1781399;167,4726;46;3,6407086956521737;510;163169
0,1621894;156,5625;45;3,4791666666666665;510;154491
0,1740709;167,7307;46;3,6463195652173916;510;156392
0,2003151;189,001;45;4,2000222222222225;510;184025
0,1812387;172,1488;46;3,742365217391304;510;171652
0,194063;187,6235;45;4,169411111111112;510;175654
0,1691863;161,775;45;3,595;510;160269
0,1665613;160,7093;45;3,5713177777777783;510;155533
0,1705352;165,4484;46;3,596704347826087;510;155726
0,1763649;162,7863;45;3,6174733333333338;510;156816
0,1780237;169,7934;46;3,691160869565217;510;167600
0,1711565;165,5856;45;3,67968;510;162336
0,1676327;162,7324;46;3,537660869565218;510;149972
0,1999298;192,3424;45;4,274275555555556;510;178338
0,1700722;164,5611;46;3,5774152173913047;510;152524
0,1828545;176,3456;45;3,918791111111111;510;168055
0,1709825;162,9337;45;3,6207488888888886;510;155456
0,167421;155,3613;46;3,3774195652173913;512;155671
0,1656325;158,2625;46;3,4404891304347824;510;154508
0,1669356;160,9165;46;3,498184782608696;510;157645
0,1604772;153,0912;45;3,4020266666666665;510;150337
0,1895364;182,7393;45;4,060873333333333;510;172699
0,2062405;196,4232;46;4,2700695652173914;510;188528
0,1762594;168,0317;46;3,652863043478261;510;155960
0,1788494;170,8031;45;3,7956244444444445;510;161824
0,1492671;144,2412;45;3,2053599999999998;510;136110
0,1540347;145,4266;45;3,2317022222222223;510;142969
0,171927;162,515;45;3,611444444444444;510;151939
0,1758085;162,0217;46;3,5222108695652175;510;157398
0,1665834;161,9359;45;3,5985755555555556;510;151922
0,1389532;130,6032;46;2,8391999999999995;510;132005
0,1717437;164,9329;45;3,6651755555555554;510;154324
0,1628334;153,958;46;3,346913043478261;510;150460
0,1759195;169,5883;45;3,768628888888889;510;156335
0,1734025;165,9293;45;3,687317777777778;510;157490
0,1601951;150,8444;45;3,352097777777778;510;150923
0,1801748;174,9025;45;3,886722222222222;510;164483
0,1663576;157,7394;46;3,429117391304348;510;155261
0,2028736;196,1045;45;4,3578777777777775;510;188324
0,1697627;162,0891;45;3,60198;510;155661
0,1830539;172,4936;46;3,749860869565217;510;170094
0,1764818;171,1409;45;3,803131111111111;510;162412
0,1954612;187,3584;45;4,16352;510;173497
0,1819912;169,2197;46;3,6786891304347824;512;164423
0,1673891;148,8199;46;3,2352152173913042;512;153203
