Total time (s);Total recompute time (ms);Amount of recomputes;Average recompute time (ms);Path length;Expanded nodes
=AVERAGE(A4:A103);=AVERAGE(B4:B103);=AVERAGE(C4:C103);=AVERAGE(D4:D103);=AVERAGE(E4:E103);=AVERAGE(F4:F103)
---------------------------------------------------------------------------------------------
0,2213514;215,754;46;4,690304347826086;510;165717
0,1999537;194,5831;46;4,230067391304348;510;182651
0,1845994;176,0933;45;3,9131844444444446;510;165609
0,1712363;162,6559;46;3,5359978260869567;512;147738
0,2136592;205,0189;45;4,5559755555555554;510;189279
0,2056704;195,1618;46;4,242647826086957;510;177027
0,2184939;201,7768;45;4,483928888888889;510;198014
0,2146854;207,8257;45;4,618348888888889;510;188064
0,1580945;151,9345;46;3,3029239130434784;510;150632
0,1772485;169,9202;46;3,6939173913043475;510;163967
0,178891;165,943;46;3,6074565217391306;510;153437
0,1741624;168,4507;45;3,7433488888888893;510;150275
0,1672455;155,1441;45;3,447646666666667;510;157370
0,2089719;194,9404;45;4,332008888888889;510;181573
0,1569319;149,3012;45;3,317804444444444;510;145146
0,1999348;189,8556;45;4,219013333333334;512;168437
0,1968836;187,1507;45;4,1589044444444445;510;169858
0,1634839;156,5875;46;3,404076086956522;512;145925
0,2334413;223,6445;45;4,969877777777778;510;209976
0,200317;193,5265;46;4,207097826086956;516;177401
0,2050068;197,709;46;4,2980217391304345;510;182493
0,2089724;200,3318;46;4,355039130434783;510;187354
0,1501744;144,101;45;3,2022444444444442;510;137014
0,1831875;159,6714;46;3,471117391304348;512;159918
0,1921272;186,1249;46;4,04619347826087;510;179199
0,1566174;150,7811;46;3,2778500000000004;520;140202
0,178572;170,3784;45;3,7861866666666666;510;164612
0,1717764;165,2102;45;3,6713377777777776;510;158673
0,1915516;184,0133;45;4,089184444444444;510;170531
0,1944883;189,5556;45;4,212346666666667;510;169638
0,1999716;191,5198;46;4,163473913043478;510;173067
0,1887194;168,7475;45;3,7499444444444445;510;175219
0,1650399;158,4239;45;3,520531111111111;510;153282
0,1721024;165,2154;45;3,671453333333333;512;153358
0,1873628;178,2847;45;3,961882222222222;510;173609
0,184902;171,8275;45;3,8183888888888884;510;166336
0,1676203;163,0945;45;3,6243222222222227;510;154267
0,2017033;196,7502;46;4,277178260869565;510;177638
0,2071315;192,0672;45;4,26816;510;182699
0,1653039;157,8884;46;3,43235652173913;510;157588
0,1512872;140,3045;45;3,1178777777777777;510;137399
0,1620738;154,5738;46;3,3603;520;147970
0,1931455;181,1537;45;4,025637777777778;510;173415
0,1677648;158,0809;46;3,4365413043478266;510;153622
0,1818526;177,1787;45;3,937304444444444;510;157822
0,200399;192,0859;45;4,268575555555556;510;172223
0,1887801;182,5592;46;3,968678260869565;510;169733
0,1538379;147,5347;45;3,2785488888888885;510;140598
0,2045752;197,7844;45;4,395208888888889;512;185559
0,1668975;158,8335;46;3,452902173913043;510;146510
0,1830885;176,114;45;3,9136444444444445;510;163025
0,1738818;164,4765;46;3,5755760869565214;510;157103
0,1782547;173,0924;45;3,8464977777777776;510;164261
0,1885972;182,7183;45;4,060406666666666;510;171512
0,1647977;150,8857;45;3,353015555555556;510;148165
0,1621646;147,6586;45;3,2813022222222226;512;147121
0,166157;155,0197;46;3,3699934782608696;514;151118
0,1538431;148,6371;46;3,2312413043478263;518;139267
0,2108613;198,6225;46;4,317880434782609;516;179820
0,186387;176,0679;46;3,827563043478261;510;167200
0,1975486;184,1502;45;4,092226666666667;510;174077
0,1638128;156,8605;45;3,485788888888889;510;149433
0,1520041;145,9046;45;3,2423244444444443;512;140919
0,1559145;141,9313;45;3,1540288888888885;510;146433
0,1708912;164,888;45;3,6641777777777778;510;154413
0,1950461;178,4557;45;3,9656822222222226;510;162328
0,1851422;174,0824;46;3,7844;510;168096
0,2133963;203,8137;45;4,529193333333334;510;193881
0,1638737;156,0081;45;3,466846666666667;510;148047
0,2006729;191,9565;45;4,2657;510;183897
0,1702538;158,1431;45;3,514291111111111;510;159024
0,2007171;185,8516;45;4,130035555555556;510;176781
0,1794064;171,4635;45;3,8103000000000002;510;172508
0,1881141;182,5702;46;3,968917391304348;510;168961
0,2011439;195,0584;45;4,334631111111111;510;172779
0,2113599;206,4197;46;4,487384782608696;510;189011
0,1686861;162,8428;45;3,618728888888889;510;147487
0,1839294;177,084;46;3,8496521739130434;516;169400
0,1750296;164,8577;45;3,6635044444444445;510;161730
0,1915037;163,9743;45;3,6438733333333335;510;168115
0,1783023;172,8501;46;3,7576108695652173;512;157941
0,1754626;150,8132;46;3,2785478260869563;510;147166
0,2037898;194,0258;45;4,311684444444444;510;183895
0,1846308;171,9653;46;3,738376086956522;512;169036
0,1567071;150,1979;46;3,2651717391304347;510;150097
0,1595135;141,3179;45;3,140397777777778;510;141814
0,1678632;162,5902;46;3,5345695652173914;512;151738
0,1739409;165,8896;45;3,6864355555555557;510;164892
0,191998;184,5989;45;4,102197777777778;510;172858
0,1518671;146,754;45;3,2611999999999997;510;135289
0,1739012;167,4251;46;3,6396760869565212;510;156646
0,1761532;158,773;45;3,5282888888888886;510;152380
0,1770255;170,887;45;3,7974888888888887;510;155321
0,1817416;172,0555;46;3,740336956521739;510;169886
0,1875078;181,2507;45;4,027793333333333;510;168261
0,171443;165,2938;45;3,6731955555555555;510;149879
0,1646106;153,8968;46;3,3455826086956524;510;144522
0,2305644;224,9746;45;4,999435555555555;510;180168
0,1963667;186,7414;45;4,149808888888889;510;177804
0,1609638;152,2358;45;3,383017777777778;510;152401
