Total time (s);Total recompute time (ms);Amount of recomputes;Average recompute time (ms);Path length;Expanded nodes
=AVERAGE(A4:A103);=AVERAGE(B4:B103);=AVERAGE(C4:C103);=AVERAGE(D4:D103);=AVERAGE(E4:E103);=AVERAGE(F4:F103)
---------------------------------------------------------------------------------------------
0,1467;137,6825;40;3,4420625;442;133899
0,0701267;65,3151;30;2,17717;340;67865
0,0922037;83,6575;32;2,614296875;360;85160
0,0771977;69,6763;34;2,0493029411764705;376;73955
0,1012451;96,7636;28;3,455842857142857;314;96168
0,1927038;182,4798;35;5,213708571428572;394;176842
0,1297103;125,7155;40;3,1428875;448;120770
0,0415682;33,4312;26;1,2858153846153846;296;38107
0,1705448;167,2959;44;3,8021795454545453;490;154339
0,0504429;48,4622;29;1,6711103448275864;332;49679
0,3637526;357,2581;67;5,332210447761194;746;345022
0,1430196;137,9492;51;2,704886274509804;574;134331
0,0630596;58,5014;31;1,8871419354838708;344;60317
0,195297;190,1631;44;4,321888636363636;490;183765
0,1586919;155,2526;58;2,6767689655172413;650;151289
0,0963772;92,3625;38;2,4305921052631576;430;92262
0,2859818;282,7881;64;4,4185640625;708;270246
0,1081484;95,176;28;3,399142857142857;312;98469
0,1480626;131,4843;30;4,38281;338;135639
0,0601235;55,3343;31;1,7849774193548387;346;56513
0,025133;21,1211;22;0,96005;252;24612
0,0634241;60,1619;35;1,7189114285714286;398;60409
0,0743711;68,732;40;1,7183;444;70947
0,0506242;41,2818;26;1,5877615384615384;300;46080
0,2259395;214,9801;56;3,838930357142857;622;215197
0,0251157;22,8189;22;1,0372227272727272;252;24351
0,0897682;85,4013;28;3,0500464285714286;316;79173
0,0546068;49,5623;25;1,982492;284;51507
0,0424322;37,4876;31;1,2092774193548388;348;39703
0,2023902;194,4366;48;4,0507625;532;188777
0,1249826;115,115;36;3,1976388888888887;404;121187
0,1451336;136,9363;41;3,3399097560975606;458;137405
0,0818227;79,456;38;2,0909473684210527;428;78761
0,0949016;90,2315;32;2,819734375;362;88630
0,0712408;66,3277;35;1,8950771428571427;392;67701
0,2299958;219,4412;50;4,3888240000000005;564;212941
0,1063317;94,6441;31;3,0530354838709677;348;101166
0,1187785;107,0976;38;2,818357894736842;422;111926
0,0630902;60,1468;28;2,1481;314;58875
0,1028473;95,4251;31;3,0782290322580645;344;94475
0,0734206;66,8308;31;2,155832258064516;350;71000
0,11696;110,5963;39;2,835802564102564;436;109295
0,0733583;69,749;38;1,8355;426;72283
0,0376173;34,8305;24;1,4512708333333333;274;35809
0,2994464;295,5519;49;6,031671428571428;548;281967
0,1580424;152,9498;42;3,641661904761905;476;147359
0,1130013;107,9749;32;3,374215625;358;105084
0,0906787;85,3511;33;2,58639696969697;370;84686
0,0483754;46,255;27;1,7131481481481483;304;45378
0,1888644;178,9622;49;3,6522897959183673;552;182209
0,0452776;42,9305;25;1,7172200000000002;284;43612
0,0479626;43,3794;27;1,6066444444444443;308;44670
0,0625827;58,3856;37;1,577989189189189;414;62038
0,2220928;216,4162;55;3,93484;610;207253
0,1311139;125,448;32;3,92025;364;120960
0,1135543;111,0188;33;3,3642060606060604;374;108446
0,1898981;176,7993;48;3,6833187499999998;536;181377
0,058;51,0149;30;1,7004966666666665;340;54793
0,0461391;44,0112;24;1,8338;270;44259
0,0965205;92,5512;37;2,501383783783784;414;89165
0,0584626;56,0887;27;2,0773592592592593;306;56593
0,0995947;94,9421;37;2,566002702702703;416;92207
0,1126391;105,9112;34;3,115035294117647;376;104260
0,1271635;117,7356;41;2,8716;460;119631
0,1183487;112,8306;27;4,178911111111112;308;114645
0,1080726;103,6082;28;3,700292857142857;310;96115
0,0923295;85,5283;28;3,054582142857143;310;84708
0,0639678;57,6024;26;2,215476923076923;296;61498
0,0381012;31,4906;24;1,3121083333333334;266;34815
0,0867103;82,7853;29;2,8546655172413797;326;81348
0,0862614;81,1278;35;2,3179371428571427;390;81303
0,0315903;28,572;23;1,2422608695652173;262;29310
0,095916;94,0028;36;2,6111888888888886;400;88579
0,0792441;68,1125;27;2,522685185185185;308;74216
0,0806612;74,1729;33;2,247663636363636;366;76313
0,1221966;108,7673;30;3,625576666666667;336;110583
0,045593;42,1363;27;1,5606037037037037;308;43935
0,0397402;33,7135;24;1,4047291666666668;270;37311
0,1227265;112,2844;37;3,0347135135135135;410;116562
0,0312409;28,528;25;1,14112;284;29206
0,0881061;83,3521;35;2,381488571428571;394;84133
0,0686322;66,0453;46;1,4357673913043478;516;69867
0,0953462;83,9001;33;2,5424272727272728;366;90227
0,1369869;132,809;41;3,2392439024390245;462;122680
0,2077391;198,4811;49;4,050634693877551;544;195884
0,1290473;124,3244;33;3,7674060606060604;366;117696
0,0653755;62,5265;25;2,50106;282;62492
0,0802871;77,2031;28;2,7572535714285715;314;76330
0,1200465;117,7041;38;3,0974763157894736;432;113496
0,0925778;87,2365;24;3,634854166666667;274;85590
0,1185252;109,7477;24;4,572820833333333;274;107507
0,0665949;62,2878;46;1,3540826086956521;512;66478
0,1067767;104,5307;38;2,750807894736842;428;102165
0,0604747;52,9343;22;2,4061045454545456;252;53559
0,0820002;78,9902;35;2,256862857142857;386;79708
0,0410684;29,9397;23;1,3017260869565217;260;36951
0,0647229;59,2951;30;1,9765033333333333;334;61124
0,0878585;80,6911;37;2,1808405405405407;420;82553
0,081684;75,8144;35;2,1661257142857147;394;77125
0,2246939;219,7128;61;3,6018491803278687;680;211481
