Total time (s);Total recompute time (ms);Amount of recomputes;Average recompute time (ms);Path length;Expanded nodes
=AVERAGE(A4:A103);=AVERAGE(B4:B103);=AVERAGE(C4:C103);=AVERAGE(D4:D103);=AVERAGE(E4:E103);=AVERAGE(F4:F103)
---------------------------------------------------------------------------------------------
0,1176255;108,9522;30;3,63174;334;108456
0,0516466;42,9654;23;1,8680608695652174;262;43564
0,0553319;47,6029;28;1,7001035714285713;320;52349
0,1366799;121,812;22;5,536909090909091;252;118087
0,0525918;47,8887;24;1,9953625;270;49347
0,043809;35,2517;22;1,60235;252;38772
0,0675748;61,4269;28;2,1938178571428573;316;64475
0,0968182;94,4575;27;3,498425925925926;304;88440
0,1093534;106,5552;31;3,4372645161290323;348;104315
0,0909333;82,5961;34;2,4292970588235296;384;88855
0,0282059;22,7918;22;1,035990909090909;252;26912
0,0804956;77,5075;25;3,1003;282;70879
0,1308148;115,4567;28;4,123453571428572;316;120309
0,0366713;33,6572;28;1,2020428571428572;316;35876
0,0423725;36,3473;22;1,6521499999999998;252;39323
0,0282368;23,1004;22;1,0500181818181817;252;27394
0,0722217;66,9294;28;2,3903357142857145;316;69829
0,1043069;97,1221;32;3,035065625;360;98089
0,1979379;193,2165;42;4,600392857142857;468;182216
0,0562313;52,5785;27;1,9473518518518518;304;51694
0,0324707;28,6305;26;1,101173076923077;296;32856
0,0435166;39,4241;31;1,2717451612903228;348;40974
0,0415423;37,2471;32;1,163971875;360;41544
0,0879158;80,4866;44;1,829240909090909;498;84030
0,0693792;58,5505;22;2,6613863636363635;252;64238
0,0595815;49,3197;23;2,1443347826086954;256;53035
0,031841;28,8285;24;1,2011874999999999;270;30891
0,0443898;41,6329;31;1,3429967741935485;344;41241
0,1149197;100,8989;28;3,603532142857143;314;105419
0,0268;22,1976;22;1,0089818181818182;252;25674
0,1011886;97,6062;29;3,3657310344827587;322;95490
0,0381415;36,316;25;1,4526400000000002;284;37303
0,0845898;73,2726;28;2,6168785714285714;316;77007
0,0647543;60,1633;24;2,5068041666666665;270;59808
0,0379288;33,4121;22;1,5187318181818183;252;34906
0,0755221;68,8326;25;2,753304;284;70541
0,0825209;76,7389;32;2,398090625;356;80595
0,0585532;50,341;25;2,01364;284;53356
0,060359;54,5954;37;1,4755513513513514;418;59245
0,0352127;31,7676;25;1,270704;284;31938
0,0776634;66,5122;26;2,5581615384615386;292;74780
0,0739576;71,9418;31;2,3207032258064517;348;67966
0,1257737;122,5068;40;3,06267;442;121879
0,0317966;27,9928;22;1,2724;252;30740
0,0388005;31,9453;25;1,277812;284;37264
0,1365619;130,7597;32;4,086240625;358;122934
0,0330764;28,231;26;1,0858076923076925;288;33198
0,0395208;35,788;25;1,43152;284;39168
0,0354685;30,6594;22;1,393609090909091;252;34049
0,0442243;41,2312;25;1,649248;286;40532
0,1342098;124,2026;30;4,140086666666667;344;123916
0,0776795;70,1626;31;2,263309677419355;350;75504
0,1064174;98,9036;25;3,956144;286;95217
0,0562998;47,4558;28;1,6948500000000002;320;53796
0,0812747;77,7647;35;2,2218485714285716;392;77664
0,0746138;68,2015;25;2,7280599999999997;284;69010
0,0326213;29,3049;22;1,332040909090909;252;29924
0,0656562;60,8211;25;2,4328440000000002;278;60306
0,0836889;79,4443;27;2,9423814814814815;302;78040
0,0598524;51,9822;22;2,3628272727272726;252;52569
0,0529662;46,0071;23;2,000308695652174;262;48103
0,0243558;21,1878;22;0,9630818181818182;252;23825
0,0488106;38,5334;24;1,6055583333333334;266;45076
0,1127428;103,3416;25;4,133664;284;107449
0,0446055;41,6515;27;1,542648148148148;308;41019
0,0264751;23,6161;22;1,0734590909090909;252;25348
0,2022076;188,8566;40;4,7214149999999995;448;183341
0,0500228;48,169;30;1,6056333333333332;340;50295
0,0375754;34,0113;22;1,5459681818181819;252;34752
0,2234385;219,2631;44;4,983252272727273;498;207648
0,0263101;21,7526;22;0,9887545454545456;252;25145
0,083235;68,3632;24;2,848466666666667;276;76148
0,0459375;42,987;26;1,653346153846154;298;44752
0,09174;80,9114;25;3,236456;284;79955
0,2173387;212,1892;32;6,6309125;360;221087
0,111234;106,8023;32;3,337571875;358;101638
0,1366829;133,5694;35;3,8162685714285716;396;128964
0,091075;83,756;26;3,2213846153846153;296;82010
0,0679494;60,3832;25;2,415328;284;64257
0,1035817;99,6336;30;3,32112;338;95448
0,0676014;62,3303;34;1,8332441176470589;378;63816
0,2488667;241,1977;54;4,466624074074074;600;236019
0,1037873;100,3634;26;3,860130769230769;292;95083
0,1328096;131,0195;34;3,8535147058823527;384;125326
0,1447782;140,8161;47;2,9960872340425535;530;138061
0,1113362;100,7987;28;3,5999535714285713;316;100440
0,0212533;18,938;22;0,8608181818181818;252;20856
0,1705996;168,0066;40;4,200165;444;156598
0,0616498;58,4972;35;1,6713485714285714;398;60792
0,1147606;102,8741;30;3,4291366666666665;336;105669
0,0565303;45,8193;22;2,0826954545454543;252;50781
0,0517973;49,6096;29;1,7106758620689655;324;49715
0,061695;53,7628;26;2,0678;300;58932
0,0563763;50,2615;22;2,2846136363636362;252;55589
0,0320834;28,7312;22;1,3059636363636364;252;30185
0,1025767;98,225;37;2,6547297297297296;414;97998
0,0500694;44,2961;32;1,384253125;356;49884
0,1839531;179,3512;37;4,84732972972973;420;173483
0,1288842;122,8652;42;2,9253619047619046;476;125300
0,0563147;50,2309;28;1,7939607142857141;316;53517
